Date,Home Team,Away Team,Period,Team,Type,Bench Side,Change,Behind Net,Retrieved,SOG,SA
2019-11-14,Colarado,Boston,3,Boston,S,N,N,Y,N,0,0
2019-11-14,Colarado,Boston,3,Colarado,S,N,N,N,Y,0,1
2019-11-14,Colarado,Boston,3,Boston,S,Y,N,N,Y,0,2
2019-11-14,Colarado,Boston,3,Boston,S,Y,N,N,Y,0,2
2019-11-14,Colarado,Boston,3,Colarado,S,Y,N,N,N,0,0
2019-11-14,Colarado,Boston,3,Boston,S,N,N,N,Y,0,1
2019-11-14,Colarado,Boston,3,Boston,S,Y,Y,N,Y,0,0
2019-03-24,New York I,Arizona,1,New York I,R,Y,N,N,Y,1,3
2019-03-24,New York I,Arizona,1,Arizona,R,N,N,N,Y,1,2
2019-03-24,New York I,Arizona,1,Arizona,C,Y,Y,N,N,0,0
2019-03-24,New York I,Arizona,1,New York I,R,Y,N,N,N,0,0
2019-03-24,New York I,Arizona,1,Arizona,R,N,N,N,Y,0,1
2019-03-24,New York I,Arizona,1,Arizona,S,Y,Y,Y,N,0,0
2019-03-24,New York I,Arizona,1,Arizona,R,N,N,Y,N,0,0
2019-03-24,New York I,Arizona,1,New York I,S,Y,N,N,Y,0,2
2019-03-24,New York I,Arizona,1,New York I,R,Y,N,N,Y,1,1
2019-03-24,New York I,Arizona,1,Arizona,S,Y,N,N,Y,0,0
2019-03-24,New York I,Arizona,1,New York I,R,N,N,N,Y,0,0
2019-03-24,New York I,Arizona,1,New York I,S,Y,N,Y,N,0,0
2019-03-24,New York I,Arizona,1,Arizona,C,N,Y,N,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,S,N,N,N,Y,0,1
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,N,Y,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,S,Y,N,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,N,N,Y,Y,2,3
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,S,Y,N,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,Y,Y,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,N,N,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,S,N,Y,N,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,Y,N,N,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,Y,N,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,S,N,N,N,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,Y,N,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,Y,Y,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,R,Y,N,N,Y ,0,1
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,S,N,N,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,S,N,N,Y,N,0,0
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,R,N,N,N,Y,0,1
2018-10-23,Edmonton,Pittsburgh,2,Pittsburgh,R,N,N,N,Y,0,1
2018-10-23,Edmonton,Pittsburgh,2,Edmonton,R,N,N,N,N,0,0
2018-12-18,Chicago,Nashville,1,Chicago,S,N,Y,N,N,0,0
2018-12-18,Chicago,Nashville,1,Nashville ,S,N,Y,N,N,0,0
2018-12-18,Chicago,Nashville,1,Chicago,R,N,N,Y,N,0,0
2018-12-18,Chicago,Nashville,1,Nashville ,S,Y,N,N,N,0,0
2018-12-18,Chicago,Nashville,1,Chicago,S,Y,N,N,Y,0,1
2018-12-18,Chicago,Nashville,1,Nashville ,S,N,Y,Y,N,0,0
2018-12-18,Chicago,Nashville,1,Nashville ,S,N,N,Y,Y,0,2
2018-12-18,Chicago,Nashville,1,Nashville ,S,Y,N,N,Y,1,1
2018-12-18,Chicago,Nashville,1,Chicago,S,N,Y,N,N,0,0
2018-12-18,Chicago,Nashville,1,Chicago,S,Y,Y,Y,N,0,0
2018-12-18,Chicago,Nashville,1,Chicago,R,N,N,Y,N,0,0
2018-12-18,Chicago,Nashville,1,Nashville ,S,N,N,N,N,0,0
2018-12-18,Chicago,Nashville,1,Nashville ,C,N,N,N,Y,1,1
2018-12-18,Chicago,Nashville,1,Nashville ,R,N,N,N,Y,0,1
2018-12-18,Chicago,Nashville,1,Nashville ,S,N,Y,N,N,0,0
2018-12-18,Chicago,Nashville,1,Nashville ,R,N,N,N,Y,0,0
2018-12-18,Chicago,Nashville,1,Chicago,S,Y,N,Y,N,0,0
2019-12-18,Chicago,Nashville,1,Nashville ,C,N,N,N,Y,1,1
2018-11-09,Anaheim,Minnesota,3,Minnesota,R,N,N,N,Y,0,0
2018-11-09,Anaheim,Minnesota,3,Minnesota,R,N,Y,N,N,0,0
2018-11-09,Anaheim,Minnesota,3,Minnesota,S,Y,Y,Y,N,0,0
2018-11-09,Anaheim,Minnesota,3,Minnesota,S,Y,N,N,Y,0,1
2018-11-09,Anaheim,Minnesota,3,Minnesota,S,N,N,N,Y,0,0
